,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
97,BLACK,LOSS,11,12,16,48,8,2,2,2,1,1
98,WHITE,LOSS,22,14,10,49,5,2,0,2,0,1
99,BLACK,LOSS,14,13,16,49,8,2,2,2,1,1
100,WHITE,LOSS,10,15,13,50,7,2,1,2,0,1
101,BLACK,LOSS,14,12,16,50,8,2,2,2,1,1
102,WHITE,LOSS,22,13,8,51,4,0,1,1,1,1
103,BLACK,LOSS,9,14,16,51,8,2,2,2,1,1
104,WHITE,LOSS,21,14,8,52,5,0,1,1,0,1
105,BLACK,LOSS,17,11,15,52,7,2,2,2,1,1
106,WHITE,LOSS,9,16,12,53,7,2,0,2,0,1
107,BLACK,LOSS,12,11,16,53,8,2,2,2,1,1
108,WHITE,LOSS,17,15,9,54,4,1,1,2,0,1
109,BLACK,LOSS,22,13,15,54,7,2,2,2,1,1
110,WHITE,LOSS,17,15,10,55,6,1,1,1,0,1
111,BLACK,LOSS,16,9,14,55,7,2,1,2,1,1
112,WHITE,LOSS,31,14,7,56,4,0,0,2,0,1
113,BLACK,LOSS,19,11,15,56,7,2,2,2,1,1
114,WHITE,LOSS,12,16,11,57,6,1,1,2,0,1
115,BLACK,LOSS,5,15,16,57,8,2,2,2,1,1
116,WHITE,LOSS,14,15,11,58,6,1,1,2,0,1
117,BLACK,LOSS,6,14,16,58,8,2,2,2,1,1
118,WHITE,LOSS,23,15,8,59,4,1,1,1,0,1
119,BLACK,LOSS,22,11,15,59,7,2,2,2,1,1
120,WHITE,LOSS,13,15,12,60,5,2,1,2,1,1
121,BLACK,LOSS,22,10,15,60,7,2,2,2,1,1
122,WHITE,LOSS,26,13,9,61,4,2,1,1,0,1
123,BLACK,LOSS,23,9,15,61,7,2,2,2,1,1
124,WHITE,LOSS,28,16,6,62,4,0,1,0,0,1
125,BLACK,LOSS,20,12,14,62,6,2,2,2,1,1
126,WHITE,LOSS,11,16,13,63,6,2,2,1,1,1
127,BLACK,LOSS,18,6,15,63,7,3,1,2,1,1
128,WHITE,LOSS,15,15,11,64,7,1,1,1,0,1
129,BLACK,LOSS,16,9,16,64,8,2,2,2,1,1
130,WHITE,LOSS,19,14,9,65,4,1,1,2,0,1
131,BLACK,LOSS,24,5,15,65,7,2,2,2,1,1
132,WHITE,LOSS,21,15,9,66,4,2,1,1,0,1
133,BLACK,LOSS,17,12,15,66,8,1,2,2,1,1
134,WHITE,LOSS,13,16,11,67,6,1,1,2,0,1
135,BLACK,LOSS,22,9,15,67,8,1,2,2,1,1
136,WHITE,LOSS,24,14,5,68,3,1,0,0,0,1
137,BLACK,LOSS,19,11,15,68,7,2,2,2,1,1
138,WHITE,LOSS,25,16,8,69,4,1,1,1,0,1
139,BLACK,LOSS,8,14,16,69,8,2,2,2,1,1
140,WHITE,LOSS,4,16,15,70,7,2,2,2,1,1
141,BLACK,LOSS,24,9,14,70,6,2,2,2,1,1
142,WHITE,LOSS,23,14,6,71,5,0,0,0,0,1
143,BLACK,LOSS,24,9,14,71,6,2,2,2,1,1
144,WHITE,LOSS,17,15,10,72,6,0,1,2,0,1
145,BLACK,LOSS,33,7,12,72,5,2,1,2,1,1
146,WHITE,LOSS,19,15,12,73,6,2,1,2,0,1
147,BLACK,LOSS,16,10,14,73,6,2,2,2,1,1
148,WHITE,LOSS,20,14,12,74,7,1,1,2,0,1
149,BLACK,LOSS,25,10,15,74,7,2,2,2,1,1
150,WHITE,LOSS,12,15,11,75,5,2,1,1,1,1
151,BLACK,LOSS,14,11,15,75,7,2,2,2,1,1
152,WHITE,LOSS,10,16,15,76,7,2,2,2,1,1
153,BLACK,LOSS,20,11,15,76,6,2,2,2,2,1
154,WHITE,LOSS,17,15,12,77,5,2,1,2,1,1
155,BLACK,LOSS,13,14,15,77,7,2,2,2,1,1
156,WHITE,LOSS,25,15,10,78,3,1,2,2,1,1
157,BLACK,LOSS,11,10,15,78,8,1,2,2,1,1
158,WHITE,LOSS,14,14,12,79,7,0,2,2,0,1
159,BLACK,LOSS,12,11,15,79,7,2,2,2,1,1
160,WHITE,LOSS,18,16,6,80,4,1,0,0,0,1
161,BLACK,LOSS,13,14,15,80,7,2,2,2,1,1
162,WHITE,LOSS,25,14,8,81,5,1,0,1,0,1
163,BLACK,LOSS,15,11,15,81,8,1,2,2,1,1
164,WHITE,LOSS,24,16,8,82,4,1,1,1,0,1
165,BLACK,LOSS,14,12,16,82,8,2,2,2,1,1
166,WHITE,LOSS,17,16,8,83,4,0,1,2,0,1
167,BLACK,LOSS,19,12,16,83,7,3,2,2,1,1
