,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
1133,BLACK,LOSS,18,11,14,800,6,2,2,2,1,1
1134,WHITE,LOSS,31,15,6,800,3,0,1,1,0,1
1135,BLACK,LOSS,12,10,16,800,8,2,2,2,1,1
1136,WHITE,LOSS,25,16,6,800,3,0,1,1,0,1
1137,BLACK,LOSS,18,11,13,800,6,2,1,2,1,1
1138,WHITE,LOSS,32,14,5,800,3,1,0,0,0,1
1139,BLACK,LOSS,9,13,16,800,8,2,2,2,1,1
1140,WHITE,LOSS,22,16,10,800,5,2,1,1,0,1
1141,BLACK,LOSS,20,12,16,800,8,2,2,2,1,1
1142,WHITE,LOSS,17,15,11,800,5,2,1,2,0,1
1143,BLACK,LOSS,12,13,14,800,6,2,2,2,1,1
1144,WHITE,LOSS,27,14,10,800,5,1,1,2,0,1
1145,BLACK,LOSS,30,6,13,800,7,1,1,2,1,1
1146,WHITE,LOSS,25,15,9,800,6,1,0,1,0,1
1147,BLACK,LOSS,21,11,13,800,5,2,2,2,1,1
1148,WHITE,LOSS,17,15,10,800,5,1,1,1,1,1
1149,BLACK,LOSS,15,10,15,800,7,2,2,2,1,1
1150,WHITE,LOSS,16,14,11,800,7,1,0,2,0,1
1151,BLACK,LOSS,17,9,14,800,7,2,2,1,1,1
1152,WHITE,LOSS,16,16,12,800,6,1,2,2,0,1
1153,BLACK,LOSS,19,9,15,800,7,2,2,2,1,1
1154,WHITE,LOSS,15,15,8,800,4,0,1,2,0,1
1155,BLACK,LOSS,16,9,15,800,8,1,2,2,1,1
1156,WHITE,LOSS,17,15,11,800,6,2,1,1,0,1
1157,BLACK,LOSS,18,11,14,800,7,2,1,2,1,1
1158,WHITE,LOSS,20,15,10,800,5,2,1,1,0,1
1159,BLACK,LOSS,7,14,16,800,7,2,2,3,1,1
1160,WHITE,LOSS,17,15,12,800,5,2,2,1,1,1
1161,BLACK,LOSS,24,11,14,800,6,2,2,2,1,1
1162,WHITE,LOSS,11,16,10,800,5,1,1,1,1,1
1163,BLACK,LOSS,13,11,16,800,8,2,2,2,1,1
1164,WHITE,LOSS,20,13,9,800,5,1,1,1,0,1
1165,BLACK,LOSS,10,11,16,800,8,2,2,2,1,1
1166,WHITE,LOSS,41,15,4,800,3,0,0,0,0,1
1167,BLACK,LOSS,19,13,14,800,6,2,2,2,1,1
1168,WHITE,LOSS,38,15,12,800,5,1,2,2,1,1
1169,BLACK,LOSS,21,11,15,800,7,2,2,2,1,1
1170,WHITE,LOSS,39,15,8,800,4,0,1,2,0,1
1171,BLACK,LOSS,24,9,15,800,7,2,2,2,1,1
1172,WHITE,LOSS,13,15,11,800,5,2,1,2,0,1
1173,BLACK,LOSS,20,10,14,800,6,2,2,2,1,1
1174,WHITE,LOSS,21,16,10,800,4,1,2,1,1,1
1175,BLACK,LOSS,12,12,16,800,7,2,2,3,1,1
1176,WHITE,LOSS,32,14,11,800,5,1,1,2,1,1
1177,BLACK,LOSS,13,13,16,800,8,2,2,2,1,1
1178,WHITE,LOSS,13,16,11,800,6,1,1,2,0,1
1179,BLACK,LOSS,5,13,16,800,8,2,2,2,1,1
1180,WHITE,LOSS,18,15,10,800,6,2,0,1,0,1
1181,BLACK,LOSS,20,9,14,800,7,2,1,2,1,1
1182,WHITE,LOSS,28,16,11,800,6,1,1,2,0,1
1183,BLACK,LOSS,19,10,14,800,7,2,2,2,0,1
1184,WHITE,LOSS,31,14,11,800,7,1,1,1,0,1
1185,BLACK,LOSS,16,12,14,800,6,2,2,2,1,1
1186,WHITE,LOSS,16,16,8,800,6,0,0,1,0,1
1187,BLACK,LOSS,12,13,14,800,5,2,2,2,2,1
1188,WHITE,LOSS,16,16,9,800,4,1,1,2,0,1
1189,BLACK,LOSS,16,11,16,800,8,2,2,2,1,1
1190,WHITE,LOSS,21,16,8,800,3,1,1,2,0,1
1191,BLACK,LOSS,19,11,15,800,7,2,2,2,1,1
1192,WHITE,LOSS,27,15,8,800,4,1,1,1,0,1
1193,BLACK,LOSS,14,11,16,800,8,2,2,2,1,1
1194,WHITE,LOSS,19,15,9,800,6,0,1,1,0,1
1195,BLACK,LOSS,23,9,15,800,7,2,2,2,1,1
1196,WHITE,LOSS,26,14,8,800,6,0,0,1,0,1
1197,BLACK,LOSS,11,12,14,800,7,1,2,2,1,1
1198,WHITE,LOSS,15,16,11,800,6,1,2,1,0,1
1199,BLACK,LOSS,41,4,15,800,7,2,2,2,1,1
1200,WHITE,LOSS,19,16,11,800,6,1,1,2,0,1
1201,BLACK,LOSS,18,12,14,800,6,2,2,2,1,1
1202,WHITE,LOSS,16,16,13,800,6,1,2,2,1,1
1203,BLACK,LOSS,12,14,16,800,8,2,2,2,1,1
1204,WHITE,LOSS,41,15,9,800,3,1,2,2,0,1
1205,BLACK,LOSS,13,10,16,800,8,2,2,2,1,1
1206,WHITE,LOSS,17,16,12,800,7,1,2,1,0,1
1207,BLACK,LOSS,16,10,15,800,7,2,2,2,1,1
1208,WHITE,LOSS,28,15,11,800,6,1,2,1,0,1
1209,BLACK,LOSS,13,11,15,800,8,2,1,2,1,1
1210,WHITE,LOSS,23,15,12,800,5,1,2,2,1,1
1211,BLACK,LOSS,22,8,16,800,8,2,2,2,1,1
1212,WHITE,LOSS,36,14,10,800,5,1,1,2,0,1
1213,BLACK,LOSS,12,13,16,800,8,2,2,2,1,1
1214,WHITE,LOSS,17,14,13,800,7,1,2,2,0,1
1215,BLACK,LOSS,24,11,12,800,5,2,1,2,1,1
1216,WHITE,LOSS,18,15,9,800,6,1,0,1,0,1
1217,BLACK,LOSS,10,14,16,800,8,2,2,2,1,1
1218,WHITE,LOSS,18,15,11,800,6,1,1,2,0,1
1219,BLACK,LOSS,22,10,15,800,7,2,2,2,1,1
1220,WHITE,LOSS,23,15,9,800,4,2,0,2,0,1
1221,BLACK,LOSS,14,10,15,800,7,2,2,2,1,1
1222,WHITE,LOSS,21,14,4,800,3,0,0,0,0,1
1223,BLACK,LOSS,12,11,16,800,8,2,2,2,1,1
1224,WHITE,LOSS,34,16,9,800,4,1,1,2,0,1
1225,BLACK,LOSS,12,13,15,800,7,2,2,2,1,1
1226,WHITE,LOSS,12,15,12,800,6,2,1,2,0,1
1227,BLACK,LOSS,9,14,15,800,7,2,2,2,1,1
1228,WHITE,LOSS,22,16,9,800,5,1,0,2,0,1
1229,BLACK,LOSS,15,12,16,800,8,2,2,2,1,1
1230,WHITE,LOSS,23,16,11,800,5,2,1,2,0,1
1231,BLACK,LOSS,13,12,16,800,8,2,2,2,1,1
1232,WHITE,LOSS,26,15,11,800,5,0,2,2,1,1
1233,BLACK,LOSS,15,10,16,800,8,2,2,2,1,1
1234,WHITE,LOSS,10,16,14,800,7,2,2,2,0,1
1235,BLACK,LOSS,12,10,16,800,8,2,2,2,1,1
1236,WHITE,LOSS,15,15,11,800,6,2,0,2,0,1
1237,BLACK,LOSS,7,13,16,800,8,2,2,2,1,1
1238,WHITE,LOSS,13,16,11,800,6,1,1,2,0,1
1239,BLACK,LOSS,15,10,15,800,7,2,2,2,1,1
1240,WHITE,LOSS,23,16,10,800,6,0,2,1,0,1
1241,BLACK,LOSS,14,11,14,800,6,2,2,2,1,1
1242,WHITE,LOSS,17,16,11,800,6,1,1,2,0,1
1243,BLACK,LOSS,19,11,14,800,7,1,2,2,1,1
1244,WHITE,LOSS,22,16,12,800,7,1,1,2,0,1
1245,BLACK,LOSS,14,12,15,800,8,2,1,2,1,1
1246,WHITE,LOSS,45,15,7,800,5,0,0,1,0,1
1247,BLACK,LOSS,16,11,15,800,7,2,2,2,1,1
1248,WHITE,LOSS,33,15,10,800,5,1,1,2,0,1
1249,BLACK,LOSS,8,14,16,800,8,2,2,2,1,1
1250,WHITE,LOSS,15,16,13,800,6,2,2,2,0,1
1251,BLACK,LOSS,21,10,15,800,8,1,2,2,1,1
1252,WHITE,LOSS,22,16,12,800,6,2,1,2,0,1
1253,BLACK,LOSS,17,12,14,800,6,2,2,2,1,1
1254,WHITE,LOSS,16,16,10,800,6,1,1,1,0,1
1255,BLACK,LOSS,16,10,16,800,7,2,2,2,2,1
1256,WHITE,LOSS,25,14,10,800,5,1,1,2,0,1
1257,BLACK,LOSS,9,14,15,800,8,1,2,2,1,1
1258,WHITE,LOSS,22,15,11,800,6,1,1,2,0,1
1259,BLACK,LOSS,15,11,14,800,6,2,2,2,1,1
1260,WHITE,LOSS,20,15,12,800,5,1,2,2,1,1
1261,BLACK,LOSS,17,8,16,800,7,2,2,2,2,1
1262,WHITE,LOSS,17,15,8,800,5,0,0,2,0,1
1263,BLACK,LOSS,12,12,14,800,8,0,2,2,1,1
1264,WHITE,LOSS,26,16,9,800,5,1,1,1,0,1
1265,BLACK,LOSS,14,12,15,800,7,2,2,2,1,1
1266,WHITE,LOSS,25,14,10,800,5,1,1,2,0,1
1267,BLACK,LOSS,15,8,14,800,5,2,2,2,2,1
1268,WHITE,LOSS,12,14,14,800,7,1,2,2,1,1
1269,BLACK,LOSS,20,11,14,800,6,2,2,2,1,1
1270,WHITE,LOSS,17,16,13,800,6,1,2,2,1,1
1271,BLACK,LOSS,11,13,14,800,6,2,2,2,1,1
1272,WHITE,LOSS,18,16,8,800,5,1,0,1,0,1
1273,BLACK,LOSS,14,11,16,800,8,2,2,2,1,1
1274,WHITE,LOSS,39,14,8,800,4,0,2,1,0,1
1275,BLACK,LOSS,35,11,14,800,6,3,1,2,1,1
1276,WHITE,LOSS,13,15,11,800,5,2,1,2,0,1
1277,BLACK,LOSS,21,9,16,800,8,2,2,2,1,1
1278,WHITE,LOSS,11,16,11,800,5,1,2,1,1,1
1279,BLACK,LOSS,15,11,16,800,8,2,2,2,1,1
1280,WHITE,LOSS,18,16,11,800,6,1,1,2,0,1
1281,BLACK,LOSS,14,11,15,800,7,2,2,2,1,1
1282,WHITE,LOSS,16,15,9,800,6,1,1,0,0,1
1283,BLACK,LOSS,14,11,15,800,7,2,2,2,1,1
1284,WHITE,LOSS,25,14,9,800,4,0,2,2,0,1
1285,BLACK,LOSS,18,12,15,800,7,2,2,2,1,1
1286,WHITE,LOSS,24,15,10,800,6,1,1,1,0,1
1287,BLACK,LOSS,15,11,15,800,7,1,2,2,2,1
