,AGENT COLOR,OUTCOME,N STEPS,AGENT PIECES,OPPONENT PIECES,EPISODE,pawn,horse,knight,rook,queen,king
97,BLACK,LOSS,12,12,16,48,8,2,2,2,1,1
98,WHITE,LOSS,8,15,14,49,7,1,2,2,1,1
99,BLACK,LOSS,20,11,16,49,8,2,2,2,1,1
100,WHITE,LOSS,11,16,15,50,7,2,2,2,1,1
101,BLACK,LOSS,15,9,15,50,8,2,1,2,1,1
102,WHITE,DRAW,14,13,16,51,8,2,2,2,1,1
103,BLACK,LOSS,15,10,15,51,7,2,2,2,1,1
104,WHITE,DRAW,9,14,16,52,8,2,2,2,1,1
105,BLACK,LOSS,18,11,14,52,7,2,1,2,1,1
106,WHITE,DRAW,19,12,16,53,8,2,2,2,1,1
107,BLACK,LOSS,4,15,16,53,8,2,2,2,1,1
108,WHITE,DRAW,18,11,13,54,6,1,2,2,1,1
109,BLACK,LOSS,10,10,16,54,8,2,2,2,1,1
110,WHITE,DRAW,16,12,15,55,7,2,2,2,1,1
111,BLACK,LOSS,26,8,14,55,6,2,2,2,1,1
112,WHITE,DRAW,12,14,16,56,8,2,2,2,1,1
113,BLACK,DRAW,5,16,16,56,8,2,2,2,1,1
114,WHITE,DRAW,11,12,16,57,8,2,2,2,1,1
115,BLACK,LOSS,15,11,16,57,8,2,2,2,1,1
116,WHITE,DRAW,8,14,16,58,8,2,2,2,1,1
117,BLACK,LOSS,7,13,16,58,8,2,2,2,1,1
118,WHITE,DRAW,30,9,14,59,6,2,2,2,1,1
119,BLACK,LOSS,28,9,16,59,8,2,2,2,1,1
120,WHITE,LOSS,13,14,14,60,7,1,2,2,1,1
121,BLACK,LOSS,17,10,14,60,6,2,2,2,1,1
122,WHITE,DRAW,17,12,14,61,6,2,1,2,2,1
123,BLACK,LOSS,21,6,14,61,7,2,1,2,1,1
124,WHITE,DRAW,24,12,16,62,8,2,2,2,1,1
125,BLACK,LOSS,14,10,14,62,6,2,2,2,1,1
126,WHITE,DRAW,8,14,16,63,8,2,2,2,1,1
127,BLACK,LOSS,13,12,15,63,7,2,2,2,1,1
128,WHITE,LOSS,17,11,15,64,6,2,2,2,2,1
129,BLACK,LOSS,15,12,16,64,8,2,2,2,1,1
130,WHITE,DRAW,22,10,15,65,7,2,2,2,1,1
131,BLACK,LOSS,8,12,16,65,8,2,2,2,1,1
132,WHITE,LOSS,29,8,12,66,5,1,2,2,1,1
133,BLACK,LOSS,19,10,15,66,7,2,2,2,1,1
134,WHITE,LOSS,10,13,15,67,7,2,2,2,1,1
135,BLACK,LOSS,14,13,16,67,8,2,2,2,1,1
136,WHITE,DRAW,19,11,14,68,7,1,2,2,1,1
137,BLACK,LOSS,23,9,14,68,6,2,1,3,1,1
138,WHITE,LOSS,17,8,14,69,6,2,2,2,1,1
139,BLACK,LOSS,10,14,16,69,8,2,2,2,1,1
140,WHITE,DRAW,17,12,16,70,8,2,2,2,1,1
141,BLACK,LOSS,14,10,14,70,7,1,2,2,1,1
142,WHITE,DRAW,17,11,15,71,6,2,2,2,2,1
143,BLACK,LOSS,14,13,15,71,7,2,2,2,1,1
144,WHITE,DRAW,24,6,14,72,7,1,2,3,0,1
145,BLACK,LOSS,13,12,16,72,8,2,2,2,1,1
146,WHITE,DRAW,21,11,14,73,6,2,2,2,1,1
147,BLACK,LOSS,10,13,16,73,8,2,2,2,1,1
148,WHITE,DRAW,20,11,15,74,7,2,2,2,1,1
149,BLACK,LOSS,16,10,14,74,6,2,2,2,1,1
150,WHITE,LOSS,17,11,14,75,6,2,2,2,1,1
151,BLACK,LOSS,12,15,16,75,8,2,2,2,1,1
152,WHITE,DRAW,30,9,13,76,7,1,1,2,1,1
153,BLACK,LOSS,25,7,12,76,5,2,1,2,1,1
154,WHITE,DRAW,26,10,13,77,7,2,1,2,0,1
155,BLACK,LOSS,16,10,15,77,6,2,2,3,1,1
156,WHITE,DRAW,18,12,16,78,7,2,2,2,2,1
157,BLACK,LOSS,13,12,15,78,7,2,2,2,1,1
158,WHITE,DRAW,30,10,15,79,7,2,2,2,1,1
159,BLACK,LOSS,11,14,15,79,7,2,2,2,1,1
160,WHITE,DRAW,31,11,16,80,7,2,2,2,2,1
161,BLACK,LOSS,9,12,16,80,7,2,2,2,2,1
162,WHITE,DRAW,10,15,15,81,7,2,2,2,1,1
163,BLACK,LOSS,19,9,13,81,6,1,2,2,1,1
164,WHITE,DRAW,25,8,15,82,7,1,2,2,2,1
165,BLACK,LOSS,13,11,16,82,8,2,2,2,1,1
166,WHITE,DRAW,25,7,16,83,8,2,2,2,1,1
167,BLACK,LOSS,15,9,16,83,8,2,2,2,1,1
168,WHITE,DRAW,23,10,15,84,8,2,1,2,1,1
169,BLACK,LOSS,25,7,15,84,7,2,2,2,1,1
170,WHITE,LOSS,17,10,15,85,7,2,2,2,1,1
171,BLACK,LOSS,24,9,15,85,7,2,2,2,1,1
172,WHITE,DRAW,13,10,16,86,8,2,2,2,1,1
173,BLACK,LOSS,25,7,12,86,6,1,1,2,1,1
174,WHITE,DRAW,16,10,14,87,7,2,1,2,1,1
175,BLACK,LOSS,10,15,16,87,8,2,2,2,1,1
176,WHITE,LOSS,18,14,13,88,6,1,2,2,1,1
177,BLACK,LOSS,26,8,15,88,7,2,2,2,1,1
178,WHITE,DRAW,18,11,16,89,8,2,2,2,1,1
179,BLACK,LOSS,10,15,15,89,8,2,1,2,1,1
180,WHITE,DRAW,18,12,16,90,8,2,2,2,1,1
181,BLACK,LOSS,6,15,16,90,8,2,2,2,1,1
182,WHITE,LOSS,21,8,15,91,7,2,2,2,1,1
183,BLACK,LOSS,20,10,15,91,8,2,1,2,1,1
